100.0 1 1.0 2011
100.0 101 1.0 2115
100.0 201 1.0 2234
100.0 301 1.0 2308
100.0 401 1.0 2412
100.0 501 1.0 2531
100.0 601 1.0 2613
100.0 701 1.0 2710
100.0 801 1.0 2830
100.0 901 1.0 2911
100.0 1 1001.0 2008824
100.0 101 1001.0 2008910
100.0 201 1001.0 2009018
100.0 301 1001.0 2009122
100.0 401 1001.0 2009209
100.0 501 1001.0 2009316
100.0 601 1001.0 2009420
100.0 701 1001.0 2009508
100.0 801 1001.0 2009614
100.0 901 1001.0 2009718
100.0 1 2001.0 4015614
100.0 101 2001.0 4015711
100.0 201 2001.0 4015831
100.0 301 2001.0 4015913
100.0 401 2001.0 4016010
100.0 501 2001.0 4016129
100.0 601 2001.0 4016210
100.0 701 2001.0 4016308
100.0 801 2001.0 4016427
100.0 901 2001.0 4016509
100.0 1 3001.0 6022422
100.0 101 3001.0 6022510
100.0 201 3001.0 6022615
100.0 301 3001.0 6022719
100.0 401 3001.0 6022839
100.0 501 3001.0 6022914
100.0 601 3001.0 6023018
100.0 701 3001.0 6023137
100.0 801 3001.0 6023211
100.0 901 3001.0 6023316
100.0 1 4001.0 8029212
100.0 101 4001.0 8029324
100.0 201 4001.0 8029429
100.0 301 4001.0 8029510
100.0 401 4001.0 8029622
100.0 501 4001.0 8029726
100.0 601 4001.0 8029812
100.0 701 4001.0 8029921
100.0 801 4001.0 8030025
100.0 901 4001.0 8030110
100.0 1 5001.0 10036019
100.0 101 5001.0 10036105
100.0 201 5001.0 10036213
100.0 301 5001.0 10036317
100.0 401 5001.0 10036403
100.0 501 5001.0 10036511
100.0 601 5001.0 10036615
100.0 701 5001.0 10036703
100.0 801 5001.0 10036809
100.0 901 5001.0 10036913
100.0 1 6001.0 12042809
100.0 101 6001.0 12042922
100.0 201 6001.0 12043026
100.0 301 6001.0 12043108
100.0 401 6001.0 12043220
100.0 501 6001.0 12043324
100.0 601 6001.0 12043409
100.0 701 6001.0 12043517
100.0 801 6001.0 12043621
100.0 901 6001.0 12043709
100.0 1 7001.0 14049617
100.0 101 7001.0 14049736
100.0 201 7001.0 14049817
100.0 301 7001.0 14049914
100.0 401 7001.0 14050033
100.0 501 7001.0 14050115
100.0 601 7001.0 14050227
100.0 701 7001.0 14050331
100.0 801 7001.0 14050413
100.0 901 7001.0 14050525
100.0 1 8001.0 16056408
100.0 101 8001.0 16056505
100.0 201 8001.0 16056624
100.0 301 8001.0 16056705
100.0 401 8001.0 16056802
100.0 501 8001.0 16056922
100.0 601 8001.0 16057004
100.0 701 8001.0 16057116
100.0 801 8001.0 16057220
100.0 901 8001.0 16057305
100.0 1 9001.0 18063215
100.0 101 9001.0 18063297
100.0 201 9001.0 18063409
100.0 301 9001.0 18063514
100.0 401 9001.0 18063599
100.0 501 9001.0 18063707
100.0 601 9001.0 18063811
100.0 701 9001.0 18063897
100.0 801 9001.0 18064006
100.0 901 9001.0 18064110
